,isbn,title,original_title,authors,original_publication_year,average_rating
8712,,"Evelyn, After","Evelyn, After",Victoria Helen Stone,2016.0,3.64
8743,,The Pact,,Karina Halle,2014.0,3.91
8747,,رأيت رام الله, رأيت رام الله,"Mourid Barghouti, مريد البرغوثي",1997.0,4.15
8754,,"The Sworn Sword (The Tales of Dunk and Egg, #2)",The Sworn Sword,George R.R. Martin,2003.0,4.07
8756,,The Complete Works of H.P. Lovecraft,,H.P. Lovecraft,1978.0,4.34
8769,,"The Keeping (Law of the Lycans, #3)",The Keeping,Nicky Charles,2010.0,4.18
8807,,"Wisdom (My Blood Approves, #4)",Wisdom,Amanda Hocking,2010.0,4.04
8809,,"Defy (Defy, #1)",Defy,Sara B. Larson,2014.0,3.74
8812,,The Misremembered Man (Tailorstown #1),The Misremembered Man,Christina McKenna,2008.0,3.72
8820,,The Story of a Shipwrecked Sailor,Relato de un náufrago,"Gabriel García Márquez, Randolph Hogan",1970.0,3.73
8824,,The Color of Secrets,,Lindsay Ashford,2015.0,3.85
8833,,True Love Story,True Love Story,Willow Aster,2013.0,4.08
8834,,The Moonlit Garden,Der Mondscheingarten,"Corina Bomann, Alison Layland",2013.0,3.74
8838,,"Hidden Bodies (You, #2)",Hidden Bodies,Caroline Kepnes,2016.0,3.87
8851,,"Wildest Dreams (Fantasyland, #1)",Wildest Dreams,Kristen Ashley,2011.0,4.19
8888,,"Beautiful Burn (The Maddox Brothers, #4)",Beautiful Burn,Jamie McGuire,2016.0,4.11
8891,,Wait for It,Wait for It,Mariana Zapata,2016.0,4.22
8910,,"The Blood Mirror (Lightbringer, #4)",The Blood Mirror,Brent Weeks,2016.0,4.29
8917,,"Rock Chick Revolution (Rock Chick, #8)",,Kristen Ashley,2013.0,4.46
8940,,"Cross My Heart (Cross My Heart, #1)",Cross My Heart,Katie Klein,2011.0,3.92
8951,,"Take This Regret (Take This Regret, #1)",Pulled,"Amy Lichtenhan, A.L. Jackson",2011.0,4.06
8953,,The Girl You Lost,,Kathryn Croft,2016.0,3.89
8954,,Willing Captive,Willing Captive,Belle Aurora,2013.0,4.11
8958,,"Radiance (Wraith Kings, #1)",Radiance,Grace Draven,2014.0,4.12
8969,,"Falling Free (Vorkosigan Saga, #4)",Falling Free,Lois McMaster Bujold,1987.0,3.82
8990,,"Fallen Crest Public (Fallen Crest High, #3)",,Tijan,2013.0,4.47
9008,,My Life with the Walter Boys (My Life with the Walter Boys #1),My Life with the Walter Boys,"Ali Novak, Fallzswimmer",2012.0,3.93
9011,,The Husband's Secret Free Preview,,Liane Moriarty,2013.0,3.99
9026,,"The Will (Magdalene, #1)",The Will,Kristen Ashley,2014.0,4.3
9029,,"The Billionaire Wins the Game (Billionaire Bachelors, #1)",The Billionaire Wins the Game,Melody Anne,2011.0,3.93
9034,,"Wrong Bed, Right Guy (Come Undone, #1)","Wrong Bed, Right Guy",Katee Robert,2012.0,3.77
9038,,حول العالم في 200 يوم,حول العالم في 200 يوم,أنيس منصور,1963.0,4.08
9040,,"Unattainable (Undeniable, #3)",,Madeline Sheehan,2013.0,4.31
9066,,"The Golden Dynasty (Fantasyland, #2)",,Kristen Ashley,2011.0,4.46
9088,,"The Arrangement: The Ferro Family (The Arrangement, #1)",,H.M. Ward,2013.0,4.02
9089,,Winter in Tokyo,Winter in Tokyo,Ilana Tan,2008.0,4.06
9098,,"Until Lilly (Until, #3)",,Aurora Rose Reynolds,2014.0,4.3
9100,,"Try Me (One Night with Sole Regret, #1)",Try Me,Olivia Cunning,2012.0,3.87
9104,,"Connected (Connections, #1)",Connected,Kim Karr,2013.0,4.11
9107,,"Taking Shots (Assassins, #1)",,Toni Aleo,2011.0,3.95
9108,,"Sweet Addiction (Sweet Addiction, #1)",Sweet Addiction,J.  Daniels,2014.0,4.11
9121,,"Fall From Grace (Mad World, #1)",,Christine Zolendz,2012.0,4.03
9135,,The Shadowhunter's Codex,The Shadowhunter's Codex,"Cassandra Clare, Joshua Lewis",2013.0,4.06
9163,,"Skin Deep (Legion, #2)",Legion: Skin Deep,"Brandon Sanderson, Jon Foster",2014.0,4.11
9164,,"Wicked (A Wicked Saga, #1)",Wicked,Jennifer L. Armentrout,2014.0,4.08
9166,,"Where I Belong (Alabama Summer, #1)",Where I Belong,J.  Daniels,2014.0,4.05
9173,,"Captured (The Captive, #1)",,Erica Stevens,2012.0,4.06
9180,,The Girl from Krakow,The Girl from Krakow,Alex Rosenberg,2015.0,3.79
9206,,Emmy & Oliver,Emmy & Oliver,Robin Benway,2015.0,3.91
9220,,رغم الفراق,,نور عبدالمجيد,2012.0,3.97
9223,,Broken Grace,,E.C. Diskin,2015.0,3.92
9225,,I Am Livia,,Phyllis T. Smith,2011.0,3.93
9234,,"Second Shift: Order (Shift, #2)",,Hugh Howey,2012.0,4.26
9243,,"Fire Burn and Cauldron Bubble (Jolie Wilkins, #1)",Fire Burn and Cauldron Bubble,H.P. Mallory,2010.0,3.85
9247,,"First to Kill (Nathan McBride, #1)",First to Kill ,Andrew  Peterson,2008.0,4.03
9256,,"The Mystery Knight (The Tales of Dunk and Egg, #3)",The Mystery Knight,George R.R. Martin,2010.0,4.2
9260,,Kulti,,Mariana Zapata,2015.0,4.36
9265,,"Witches of East End (The Beauchamp Family, #1)",Witches of East End,Melissa de la Cruz,2011.0,3.51
9268,,"Worth the Fight (MMA Fighter, #1)",Worth the Fight,Vi Keeland,2013.0,4.06
9277,,"In the Clearing (Tracy Crosswhite, #3)",,Robert Dugoni,2016.0,4.25
9327,,"The Boyfriend Thief (Stolen Kiss, #1)",,Shana Norris,2011.0,3.74
9331,,"The Vision (Fallen Star, #3)",,Jessica Sorensen,2011.0,4.15
9344,,Diary ng Panget,,"HaveYouSeenThisGirL, Jan Irene Villar",2013.0,4.4
9348,,"A Modern Witch (A Modern Witch, #1)",A Modern Witch,Debora Geary,2011.0,3.73
9350,,"Shine Not Burn (Shine Not Burn, #1)",Shine Not Burn,Elle Casey,2013.0,4.07
9369,,Heart on a Chain,Heart on a Chain,Cindy C. Bennett,2010.0,4.04
9372,,Wishin' and Hopin',Wishin' and Hopin': A Christmas Story,Wally Lamb,2009.0,3.52
9410,,"The Midwife's Revolt (The Midwife Series, #1)",,Jodi Daynard,2012.0,3.97
9411,,"Bound by Honor (Born in Blood Mafia Chronicles, #1)",Bound by Honor,Cora Reilly,2014.0,4.14
9412,,Anti-Stepbrother,,Tijan,2016.0,4.14
9419,,"Knight & Stay (Knight, #2)",,Kitty French,2013.0,4.19
9425,,"Maid for the Billionaire (Legacy Collection, #1)",,Ruth Cardello,2011.0,3.77
9444,,بضع ساعات في يوم ما,بضع ساعات في يوم ما,محمد صادق,2012.0,3.14
9466,,"Night Owl (Night Owl, #1)",,M. Pierce,2013.0,4.03
9473,,"Head Over Heels (Lucky Harbor, #3)","Head Over Heels (Lucky Harbor, #3)",Jill Shalvis,2011.0,4.16
9484,,"The Beggar King (The Hangman's Daughter, #3)","Die Henkerstochter und der König der Bettler (Band 3 aus der Reihe ""Die Henkerstochter-Saga"")","Oliver Pötzsch, Lee Chadeayne",2010.0,3.95
9485,,"Fifty Shades Duo: Fifty Shades Darker / Fifty Shades Freed (Fifty Shades, #2-3)",,E.L. James,2012.0,4.41
9516,,In the Miso Soup,イン ザ・ミソスープ,"Ryū Murakami, Ralph McCarthy",1997.0,3.61
9534,,"Until Nico (Until, #4)",,Aurora Rose Reynolds,2014.0,4.33
9539,,In the Penal Colony,In der Strafkolonie,Franz Kafka,1919.0,4.0
9547,,"Vicious (Sinners of Saint, #1)",Vicious,L.J. Shen,2016.0,4.25
9554,,شاب كشك في رحلة البحث عن الجادون,شاب كشك في رحلة البحث عن الجادون,عمرو سلامة,2011.0,3.66
9557,,"Reasonable Doubt: Volume 3 (Reasonable Doubt, #3)",Reasonable Doubt: Volume 3,Whitney G.,2014.0,4.19
9569,,المانيفستو,المانيفستو,مصطفى إبراهيم,2013.0,4.21
9571,,Love Left Behind,,S.H. Kolee,2012.0,4.0
9609,,"""حكايات فرغلي المستكاوي ""حكايتى مع كفر السحلاوية","""حكايات فرغلي المستكاوي ""حكايتى مع كفر السحلاوية",حسن الجندي,2013.0,3.57
9618,,"Bad Romeo (Starcrossed, #1)",Bad Romeo,Leisa Rayven,2014.0,4.1
9630,,"Holy Blood, Holy Grail",The Holy Blood and the Holy Grail,"Michael Baigent, Richard Leigh, Henry Lincoln",1982.0,3.47
9643,,"My Lady Jane (The Lady Janies, #1)",My Lady Jane,"Cynthia Hand, Brodi Ashton, Jodi Meadows",2016.0,4.12
9645,,"Blood Defense (Samantha Brinkman, #1)",,Marcia Clark,2016.0,3.81
9673,,After Anna,After Anna,Alex Lake,2015.0,3.7
9682,,صانع الظلام,صانع الظلام,تامر إبراهيم,2012.0,3.81
9684,,Cape Fear,The Executioners,John D. MacDonald,1958.0,4.07
9692,,"Forever You (Forever, #2)",,Sandi Lynn,2013.0,4.19
9696,,"The Finding (Law of the Lycans, #5)",The Finding,Nicky Charles,2011.0,4.18
9702,,"Hard Limit (Hacker, #4)",Hard Limit,Meredith Wild,2014.0,4.34
9704,,The Lake (The Lake Trilogy #1),,AnnaLisa Grant,2013.0,3.75
9705,,"Jake Undone (Jake, #1)",,Penelope Ward,2013.0,4.15
9712,,"The Wild Ones (The Wild Ones, #1)",The Wild Ones,M. Leighton,2012.0,3.94
9724,,"UnDivided (Unwind, #4)",UnDivided,Neal Shusterman,2014.0,4.48
9734,,"Lines of Departure (Frontlines, #2)",Lines of Departure,Marko Kloos,2014.0,4.08
9769,,مخطوطة بن إسحاق: مدينة الموتى,مخطوطة بن إسحاق: مدينة الموتى,حسن الجندي,2009.0,3.76
9776,,Half Way Home,,Hugh Howey,2010.0,3.7
9781,,"The Remaining (The Remaining, #1)",,D.J. Molles,2012.0,4.08
9798,,"The Space Between (Outlander, #7.5)",,Diana Gabaldon,2013.0,4.22
9800,,Zoya,Zoya,Danielle Steel,1988.0,3.95
9815,,Neighbor Dearest,,Penelope Ward,2016.0,4.23
9824,,Trouble,Trouble,Samantha Towle,2013.0,4.0
9828,,طه الغريب,"رواية "" طه الغريب """,محمد صادق,2010.0,3.67
9835,,"Tyrant (King, #2)",,T.M. Frazier,2015.0,4.39
9839,,Crooked Little Lies,,Barbara Taylor Sissel,2015.0,3.52
9843,,"Life Before Legend: Stories of the Criminal and the Prodigy (Legend, #0.5)",Life Before Legend,Marie Lu,2012.0,4.02
9849,,The Egg,The Egg,Andy Weir,2009.0,4.13
9868,,"Then Came You (The Gamblers, #1)",Then Came You,Lisa Kleypas,1993.0,3.99
9871,,The Versions of Us,The Versions of Us,Laura  Barnett,2015.0,3.57
9876,,"Trumps of Doom (The Chronicles of Amber, #6)",Trumps of Doom,Roger Zelazny,1985.0,4.06
9888,,"Overruled (The Legal Briefs, #1)",Overruled,Emma Chase,2015.0,3.83
9892,,Open Road Summer,Open Road Summer,Emery Lord,2014.0,3.91
9894,,"Dirty English (English, #1)",Dirty English,Ilsa Madden-Mills,2015.0,3.95
9899,,Guts,Guts,Chuck Palahniuk,2004.0,3.93
9903,,"Hard as It Gets (Hard Ink, #1)",Hard As It Gets,Laura Kaye,2013.0,4.01
9912,,A Thousand Boy Kisses,A Thousand Boy Kisses,Tillie Cole,2016.0,4.29
9928,,زغازيغ,,أحمد خالد توفيق,,3.55
9944,,"Rock Bottom (Tristan & Danika, #2)",,R.K. Lilley,2013.0,4.46
9958,,"Proper Gauge (Wool, #2)",Wool 2: Proper Gauge,Hugh Howey,2011.0,4.15
9966,,الحرافيش,ملحمة الحرافيش,"Naguib Mahfouz, نجيب محفوظ",1977.0,4.34
9970,,"The Tycoon's Revenge (Baby for the Billionaire, #1)",,Melody Anne,2011.0,3.87
9988,,"Out of the Dark (The Grey Wolves, #4)",Out of the Dark ,Quinn Loftis,2012.0,4.5
